"Viridis_ICM2.spc - RawData"
"Wavelength nm.","Abs."
1104.0,0.02518
1105.0,0.02547
1106.0,0.02627
1107.0,0.02431
1108.0,0.02423
1109.0,0.02116
1110.0,0.02067
1111.0,0.02174
1112.0,0.02129
1113.0,0.02024
1114.0,0.02176
1115.0,0.02281
1116.0,0.01940
1117.0,0.01892
1118.0,0.01808
1119.0,0.01922
1120.0,0.01872
1121.0,0.01873
1122.0,0.01940
1123.0,0.01857
1124.0,0.01796
1125.0,0.01809
1126.0,0.01931
1127.0,0.01969
1128.0,0.01756
1129.0,0.01834
1130.0,0.01799
1131.0,0.01762
1132.0,0.02066
1133.0,0.01810
1134.0,0.02018
1135.0,0.01822
1136.0,0.01848
1137.0,0.01780
1138.0,0.01739
1139.0,0.01704
1140.0,0.01932
1141.0,0.01742
1142.0,0.01851
1143.0,0.01754
1144.0,0.01799
1145.0,0.01784
1146.0,0.01931
1147.0,0.01942
1148.0,0.01876
1149.0,0.02010
1150.0,0.01945
1151.0,0.01671
1152.0,0.01716
1153.0,0.01850
1154.0,0.02062
1155.0,0.02012
1156.0,0.01877
1157.0,0.01946
1158.0,0.01944
1159.0,0.01876
1160.0,0.01836
1161.0,0.01860
1162.0,0.01848
1163.0,0.01779
1164.0,0.01362
1165.0,0.01661
1166.0,0.01593
1167.0,0.01707
1168.0,0.01610
1169.0,0.01579
1170.0,0.01585
1171.0,0.01534
1172.0,0.01887
1173.0,0.01549
1174.0,0.01651
1175.0,0.01618
1176.0,0.01682
1177.0,0.01695
1178.0,0.01650
1179.0,0.01585
1180.0,0.01609
1181.0,0.01757
1182.0,0.01689
1183.0,0.01594
1184.0,0.01582
1185.0,0.01512
1186.0,0.01268
1187.0,0.01316
1188.0,0.01598
1189.0,0.01439
1190.0,0.01450
1191.0,0.01457
1192.0,0.01625
1193.0,0.01257
1194.0,0.01400
1195.0,0.01413
1196.0,0.01375
1197.0,0.01139
1198.0,0.01443
1199.0,0.01200
1200.0,0.01492
